,longitude,latitude
508,2.34586182926,48.8507081968
509,2.34350739071,48.851375039
510,2.3468120894,48.852908203
538,2.34329859139,48.8469406546
539,2.34295925769,48.8461862186
540,2.34753029982,48.8464420285
541,2.34451995512,48.8455745257
542,2.34165061784,48.8486206603
543,2.34833408925,48.8485907817
544,2.34278340726,48.8501795662
545,2.3410601218,48.8475168112
546,2.34192172048,48.8471822048
547,2.34490229289,48.8494777951
548,2.34471405415,48.8495196776
553,2.36791315985,48.8526706482
554,2.36650240879,48.849433675
555,2.36572388447,48.8475186291
556,2.36627754579,48.8522247046
557,2.36569198416,48.8474191775
558,2.36664011211,48.8492910957
559,2.36462951639,48.8488317441
560,2.36406030424,48.8495389685
561,2.36408015798,48.8496900592
562,2.36151464911,48.8498768912
563,2.36560777272,48.8475768857
564,2.36519103867,48.8467883451
565,2.36809333784,48.8527150278
566,2.36849075889,48.851959477
567,2.36848556785,48.8519605124
568,2.36736735993,48.85083309
599,2.36231067542,48.8509697526
700,2.32856829876,48.8453082107
701,2.33151285064,48.8483337448
702,2.32949947824,48.8422094583
703,2.33640244444,48.8401529465
704,2.33647586151,48.8401997001
705,2.33008080404,48.8418581234
706,2.33001040588,48.8418738742
707,2.33229002736,48.8449085889
709,2.33035329674,48.8471053331
710,2.32973019601,48.8420817445
711,2.3345260867,48.8425211094
712,2.33005891307,48.841938098
713,2.33391115701,48.8406670013
714,2.33043015639,48.8470242413
722,2.30517747746,48.8623867161
723,2.31013366097,48.8623859218
724,2.30997098711,48.8599557884
725,2.3102598544,48.8627963747
726,2.31027579483,48.8623554112
727,2.30930761277,48.8610875012
728,2.30215069053,48.8618433988
729,2.30205378589,48.862553776
730,2.30972531795,48.8612234738
736,2.31017673819,48.8612204301
737,2.30202840397,48.8626160386
741,2.33501007545,48.8167714163
742,2.34403630559,48.8170380657
743,2.34374307167,48.816108659
744,2.34375978349,48.8162386121
745,2.34418926279,48.8193331412
746,2.34440116258,48.81927231
747,2.33832590187,48.8202623227
748,2.33228149914,48.8170567094
749,2.33932678268,48.8167049841
750,2.34139947051,48.8196463266
751,2.3345091602,48.821137381
752,2.33418328473,48.8211509607
823,2.35109606826,48.8802171176
824,2.35188551166,48.8806262487
825,2.34945759402,48.8792429499
826,2.35071695667,48.8794480308
827,2.35081506392,48.8794259691
828,2.35249401732,48.8802333759
829,2.35306982506,48.8796082668
830,2.35404571691,48.8787850769
831,2.35429142998,48.8783820407
832,2.35419539046,48.8783376397
833,2.35380981809,48.8784998802
834,2.35204494393,48.8780709362
835,2.35140783901,48.8777307143
836,2.35114495145,48.8778339472
837,2.35145029087,48.877525279
838,2.34984338241,48.8774920328
839,2.35115290661,48.8836461609
840,2.3556095245,48.8766269953
841,2.35121086179,48.8815296166
842,2.35607185797,48.876638377
843,2.35705027418,48.8794749755
844,2.35583384422,48.8791178901
845,2.35095744918,48.882094763
846,2.35241200278,48.8806697085
847,2.35235815424,48.8802497915
849,2.35106894511,48.8807309756
850,2.35511320889,48.8774654072
851,2.35138809011,48.877897023
852,2.35135461838,48.8771760445
853,2.34977282517,48.8835818826
854,2.35091087172,48.8795209788
855,2.35499929128,48.8772547971
856,2.3519968601,48.8806021737
857,2.35413621321,48.8784024362
858,2.35526253951,48.8773493504
859,2.35593693902,48.8765984305
860,2.35316837931,48.8791968848
865,2.33272679446,48.8743737977
866,2.33281751806,48.8742659692
890,2.34138325349,48.8765087335
891,2.34028401642,48.8757996649
892,2.34025549198,48.8748502946
893,2.33949917963,48.8748207441
894,2.33906327893,48.8742082935
895,2.33966043473,48.8740354959
896,2.34058251018,48.8740456162
897,2.33756372454,48.8724179193
898,2.34389728585,48.8758047356
899,2.34261596233,48.8756449663
1000,2.36574950691,48.8520182607
1001,2.36542288291,48.8475934012
1021,2.34663187112,48.8560804959
1022,2.3466787555,48.8561753922
1023,2.34843162854,48.8555666508
1024,2.35010483964,48.8549845105
1025,2.34826471746,48.8557613239
1026,2.35204716846,48.8527546141
1027,2.35691302408,48.8525132333
1028,2.35872887427,48.8500828207
